GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-68629972,Connect4,4,GAME_OVER,10,1,2,420,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1822990971,Connect4,5,GAME_OVER,11,0,2,421,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
268448290,Connect4,3,GAME_OVER,8,1,2,422,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1043028123,Connect4,7,GAME_OVER,15,0,2,423,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1199211999,Connect4,3,GAME_OVER,8,1,2,424,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1398271441,Connect4,3,GAME_OVER,8,1,2,425,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
648115670,Connect4,3,GAME_OVER,8,1,2,426,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1962877811,Connect4,3,GAME_OVER,8,1,2,427,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1960070630,Connect4,3,GAME_OVER,8,1,2,428,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
36358070,Connect4,3,GAME_OVER,8,1,2,429,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
375050126,Connect4,3,GAME_OVER,7,0,2,430,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
1468478823,Connect4,3,GAME_OVER,8,1,2,431,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-218109356,Connect4,3,GAME_OVER,8,1,2,432,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-3023545,Connect4,3,GAME_OVER,8,1,2,433,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1504533260,Connect4,4,GAME_OVER,9,0,2,434,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
731461140,Connect4,3,GAME_OVER,8,1,2,435,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-784229007,Connect4,3,GAME_OVER,8,1,2,436,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1136489594,Connect4,3,GAME_OVER,8,1,2,437,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-362921133,Connect4,3,GAME_OVER,7,0,2,438,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
1364054475,Connect4,6,GAME_OVER,13,0,2,439,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
814423744,Connect4,3,GAME_OVER,8,1,2,440,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1075196489,Connect4,3,GAME_OVER,8,1,2,441,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1568387951,Connect4,5,GAME_OVER,11,0,2,442,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1781053528,Connect4,3,GAME_OVER,7,0,2,443,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1606283071,Connect4,3,GAME_OVER,8,1,2,444,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-543735179,Connect4,3,GAME_OVER,8,1,2,445,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1674156088,Connect4,3,GAME_OVER,7,0,2,446,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
166348003,Connect4,3,GAME_OVER,8,1,2,447,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1111867417,Connect4,3,GAME_OVER,8,1,2,448,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1814791316,Connect4,3,GAME_OVER,8,1,2,449,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1933375635,Connect4,4,GAME_OVER,10,1,2,450,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-427253403,Connect4,3,GAME_OVER,7,0,2,451,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-194714209,Connect4,3,GAME_OVER,8,1,2,452,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-2069492797,Connect4,5,GAME_OVER,11,0,2,453,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1770987610,Connect4,3,GAME_OVER,7,0,2,454,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
803393950,Connect4,4,GAME_OVER,9,0,2,455,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
729978769,Connect4,3,GAME_OVER,8,1,2,456,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1696041272,Connect4,3,GAME_OVER,8,1,2,457,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-820865651,Connect4,3,GAME_OVER,8,1,2,458,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
