GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1880183632,CantStop,0,GAME_OVER,97,25,2,79,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1377239692,CantStop,0,GAME_OVER,137,42,2,80,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1795532617,CantStop,0,GAME_OVER,124,34,2,81,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1548656463,CantStop,0,GAME_OVER,114,22,2,82,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-653656736,CantStop,0,GAME_OVER,92,24,2,83,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-400394132,CantStop,0,GAME_OVER,150,28,2,84,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1422203009,CantStop,0,GAME_OVER,132,30,2,85,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1113178468,CantStop,0,GAME_OVER,79,24,2,86,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-175367348,CantStop,0,GAME_OVER,143,41,2,87,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1362911089,CantStop,0,GAME_OVER,139,29,2,88,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-347120262,CantStop,0,GAME_OVER,87,30,2,89,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1416514647,CantStop,0,GAME_OVER,98,18,2,90,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1570736736,CantStop,0,GAME_OVER,108,22,2,91,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1532681659,CantStop,0,GAME_OVER,143,36,2,92,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
2038358424,CantStop,0,GAME_OVER,87,20,2,93,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1950377550,CantStop,0,GAME_OVER,73,14,2,94,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-389679841,CantStop,0,GAME_OVER,110,30,2,95,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1652369011,CantStop,0,GAME_OVER,165,44,2,96,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
649728961,CantStop,0,GAME_OVER,88,19,2,97,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1939385821,CantStop,0,GAME_OVER,135,42,2,98,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-765151654,CantStop,0,GAME_OVER,167,51,2,99,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-382843140,CantStop,0,GAME_OVER,101,23,2,100,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1616233144,CantStop,0,GAME_OVER,131,34,2,101,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
