GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-230780221,SushiGo,3,GAME_OVER,97,0,4,59,1,BasicMCTS,1,2,2,3,3,4,rhea,4,osla,Random,BasicMCTS,49.0,43.0,29.0,24.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,1
-935277995,SushiGo,3,GAME_OVER,98,0,4,60,2,osla,2,4,4,1,1,3,rhea,3,Random,BasicMCTS,osla,36.0,11.0,47.0,27.0,rhea,Random,BasicMCTS,rhea,osla,BasicMCTS,Random,3
262936474,SushiGo,3,GAME_OVER,97,0,4,61,1,osla,1,3,3,2,2,4,rhea,4,Random,BasicMCTS,osla,53.0,30.0,43.0,22.0,rhea,Random,BasicMCTS,rhea,osla,BasicMCTS,Random,1
-1794082882,SushiGo,3,GAME_OVER,97,0,4,62,1,Random,1,3,3,2,2,4,rhea,4,osla,BasicMCTS,Random,32.0,24.0,30.0,21.0,rhea,osla,BasicMCTS,rhea,Random,BasicMCTS,osla,1
-673053507,SushiGo,3,GAME_OVER,99,0,4,63,3,osla,3,1,1,1,1,4,Random,4,rhea,BasicMCTS,osla,28.0,33.0,33.0,28.0,Random,rhea,BasicMCTS,Random,osla,BasicMCTS,rhea,-1
1330628683,SushiGo,3,GAME_OVER,98,0,4,64,1,rhea,1,4,4,3,3,2,BasicMCTS,2,osla,Random,rhea,39.0,34.0,34.0,35.0,BasicMCTS,osla,Random,BasicMCTS,rhea,Random,osla,1
-268805896,SushiGo,3,GAME_OVER,96,0,4,65,1,BasicMCTS,1,2,2,4,4,3,rhea,3,osla,Random,BasicMCTS,45.0,34.0,27.0,28.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,1
-1886083697,SushiGo,3,GAME_OVER,96,0,4,66,1,Random,1,3,3,4,4,2,BasicMCTS,2,rhea,osla,Random,44.0,26.0,24.0,36.0,BasicMCTS,rhea,osla,BasicMCTS,Random,osla,rhea,1
-1623485761,SushiGo,3,GAME_OVER,101,0,4,67,2,BasicMCTS,2,1,1,3,3,4,rhea,4,osla,Random,BasicMCTS,42.0,58.0,31.0,25.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,0
1660374781,SushiGo,3,GAME_OVER,97,0,4,68,2,rhea,2,4,4,3,3,1,osla,1,BasicMCTS,Random,rhea,31.0,28.0,30.0,43.0,osla,BasicMCTS,Random,osla,rhea,Random,BasicMCTS,2
