GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1745970416,Connect4,7,GAME_OVER,15,0,2,23,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
-1436161366,Connect4,4,GAME_OVER,9,0,2,24,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
-1151041315,Connect4,4,GAME_OVER,9,0,2,25,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
346665430,Connect4,4,GAME_OVER,10,1,2,26,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
879079583,Connect4,6,GAME_OVER,14,1,2,27,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
-619666105,Connect4,3,GAME_OVER,8,1,2,28,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
503938916,Connect4,7,GAME_OVER,16,1,2,29,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
-428737539,Connect4,3,GAME_OVER,8,1,2,30,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
-1745970416,Connect4,5,GAME_OVER,12,1,2,31,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
-1436161366,Connect4,3,GAME_OVER,8,1,2,32,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
-1151041315,Connect4,6,GAME_OVER,14,1,2,33,Random,1.0,-1.0,BasicMCTS,1,Random,1,2,2,BasicMCTS,BasicMCTS,Random,1
346665430,Connect4,6,GAME_OVER,13,0,2,34,Random,-1.0,1.0,RMHC,2,Random,2,1,1,RMHC,RMHC,Random,0
879079583,Connect4,8,GAME_OVER,18,1,2,35,Random,1.0,-1.0,RMHC,1,Random,1,2,2,RMHC,RMHC,Random,1
